P5序号,交付件,列源,总列数,可信度,用法,ROI,game_pnl,hold 族,stake 本金,valid_bet 洗码,profit 毛赢,NGR,rebate 退水,agent_cost,Net Margin,residual_b/a,Economic Value,Theo,ADT,NMPT,ESI,effect 处置效应,expected_gain,最大回撤 MDD,夏普 Sharpe,索提诺 Sortino,APUC,Wilcoxon,符号检验,AUC,Wilson 区间,PCA,vip_tier 秩,action_priority,evidence 证据,命中指标族数
86,TL02_config_change.csv,实测表头,131,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
87,TL03_pseudo_treatment.csv,声明（现档不在位）,196,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 5 栏：rebate、rebate_prev、rebate_cost、rebate_rate_actual…,✓ 18 栏：agent_cost、agent_cost_a_legacy、agent_cost_valid_base_legacy、agent_cost_lv1…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
88,TL03b_pseudo_treatment.csv,实测表头,135,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
89,TL04_log_schema.csv,实测表头,132,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
90,TL06_log_mem_change.csv,实测表头,129,OK,REFERENCE,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
91,TL07_mem_change_shape.csv,实测表头,137,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
92,TL08_treatment_events.csv,实测表头,136,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
93,TL09_member_schema.csv,实测表头,131,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
94,TL10_treatment_ledger.csv,实测表头,137,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
95,TL11_treatment_episode.csv,实测表头,151,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
96,TL11c_population_reconcile.csv,实测表头,134,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
97,TL14_limit_treatment.csv,实测表头,142,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
98,T_table_span.csv,实测表头,133,OK,SUPPORT,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
99,VB_00_validbet_contract.csv,实测表头,140,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
100,VB_00b_zero_five_rates.csv,实测表头,145,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
101,VB_41_identity_global.csv,实测表头,144,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,✓ 2 栏：d_min、d_max,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
102,VB_41b_identity_strata.csv,实测表头,137,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
103,VB_41b_identity_strata_v18b.csv,实测表头,145,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,✓ 3 栏：d_min、d_max、d_sign_uniform,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
104,VB_41c1_964_detail.csv,实测表头,149,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 3 栏：stake_raw、stake、stake_ramp,✓ 2 栏：validbet、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate_raw、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
105,VB_41c2_concentration.csv,实测表头,147,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
106,VB_41c2_concentration_v2.csv,实测表头,147,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
107,V_ipmatch.csv,实测表头,132,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
108,V_recon.csv,实测表头,139,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
109,V_table_counts.csv,实测表头,129,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
110,X_combo.csv,实测表头,133,INVALID,NOT_FOR_DECISION,✓ 10 栏：roi、roi_xagg、roi_recent、roi_non_recent…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 2 栏：valid_bet、valid_bet_xagg,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
111,Z01_table_inventory.csv,实测表头,132,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
112,Z02_excluded_tables.csv,实测表头,131,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
113,Z03_column_dictionary.csv,实测表头,135,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
